project_id,project_name,project_type,project_size,region,start_date,planned_end_date,structural_complexity_rating,temporary_structures_rating,bim_adoption_percentage,lead_time_rating,tariff_rate_percentage,supply_chain_risk_percentage,socio_political_risk_score,permit_approval_rating,lien_claims_rating,seismic_zone_rating,flood_risk_percentage,rainfall_flood_risk_percentage,contingency_budget_percentage,weather_delay_rating,safety_risk_rating,worker_experience_rating,turnover_rating,cybersecurity_risk_rating,renewable_energy_percentage,energy_efficiency_percentage,delay_days,cost_overrun_percentage,safety_incidents,overall_risk_score,risk_category,actual_end_date,on_time_completion,within_budget,project_success,high_risk_factors_count,top_risk_factors,recommended_mitigations
PRJ-2020-0000,Mountain Healthcare Development 0,Healthcare,Medium,Mountain,2018-01-05,2020-12-15,1,5,50,1,10,25,2,2,1,3,25,75,10,3,4,2,2,5,75,50,69,12.74109517120374,0,49.675000000000004,Medium,2021-02-22,0,0,0,6,Temporary Structures|Rainfall Flood Risk|Low Contingency Budget,Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Rainfall Flood Risk: Implement enhanced drainage systems and establish weather monitoring protocols | Low Contingency Budget: Increase contingency allocations and implement strict change order controls
PRJ-2020-0018,Coastal Industrial Development 18,Industrial,Medium,Coastal,2021-04-08,2021-12-12,5,4,10,3,15,90,1,5,4,2,75,50,15,1,5,5,1,5,0,25,102,23.480510307804636,0,64.4,High,2022-03-24,0,0,0,12,Structural Complexity|Temporary Structures|Low BIM Adoption,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements
PRJ-2020-0019,Desert Commercial Development 19,Commercial,Medium,Desert,2018-07-27,2020-07-26,2,2,90,2,50,25,3,4,4,4,10,0,5,2,2,5,1,4,50,90,24,21.917584394667745,0,41.525,Medium,2020-08-19,0,0,0,6,High Tariff Rates|Permit Approval Delays|Lien Claims,High Tariff Rates: Source local materials where possible and hedge against currency fluctuations | Permit Approval Delays: Begin permit process earlier and allocate resources for expedited processing | Lien Claims: Improve subcontractor vetting and implement robust payment verification system
PRJ-2020-0020,Coastal Educational Development 20,Educational,Large,Coastal,2020-03-06,2021-04-02,5,3,75,2,50,25,1,5,1,2,25,75,15,4,5,2,3,2,75,10,43,41.41553382967673,0,57.775000000000006,Medium,2021-05-15,0,0,0,8,Structural Complexity|High Tariff Rates|Permit Approval Delays,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations | Permit Approval Delays: Begin permit process earlier and allocate resources for expedited processing
PRJ-2020-0021,Coastal Infrastructure Development 21,Infrastructure,Small,Coastal,2022-10-16,2023-12-12,3,2,25,5,5,10,5,3,2,3,50,10,15,4,2,4,2,5,75,50,122,22.678358833135817,1,49.65,Medium,2024-04-12,0,0,0,6,Low BIM Adoption|Long Lead Times|Socio-political Issues,Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Long Lead Times: Establish early procurement protocols and identify alternative suppliers | Socio-political Issues: Engage local stakeholders early and maintain communication channels with authorities
PRJ-2020-0022,South Commercial Development 22,Commercial,Small,South,2019-04-09,2019-12-15,2,5,90,3,50,75,5,2,5,2,75,10,10,1,1,5,3,4,50,25,12,10.802363332200363,0,51.575,Medium,2019-12-27,0,0,0,9,Temporary Structures|High Tariff Rates|Supply Chain Disruption,Temporary Structures: Increase safety margins and inspection frequency for temporary structures | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations | Supply Chain Disruption: Develop alternate sourcing strategy for critical materials and establish stockpiling protocol
PRJ-2020-0023,Coastal Commercial Development 23,Commercial,Medium,Coastal,2021-08-22,2024-07-24,3,3,10,2,50,25,3,5,3,3,75,10,5,3,5,2,1,1,75,50,70,28.6803582165493,1,59.42500000000001,Medium,2024-10-02,0,0,0,7,Low BIM Adoption|High Tariff Rates|Permit Approval Delays,Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations | Permit Approval Delays: Begin permit process earlier and allocate resources for expedited processing
PRJ-2020-0024,Mountain Educational Development 24,Educational,Large,Mountain,2018-11-10,2019-07-16,2,2,10,4,5,10,5,3,2,3,10,0,5,2,2,4,3,3,50,75,50,14.778461499355794,0,44.05,Medium,2019-09-04,0,0,0,4,Low BIM Adoption|Long Lead Times|Socio-political Issues,Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Long Lead Times: Establish early procurement protocols and identify alternative suppliers | Socio-political Issues: Engage local stakeholders early and maintain communication channels with authorities
PRJ-2020-0025,Desert Educational Development 25,Educational,Medium,Desert,2024-06-04,2026-06-24,5,2,10,2,50,75,4,4,3,2,25,25,5,3,4,1,5,4,0,25,133,75.68868918910847,1,67.625,High,2026-11-04,0,0,0,13,Structural Complexity|Low BIM Adoption|High Tariff Rates,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations
PRJ-2020-0026,South Healthcare Development 26,Healthcare,Large,South,2024-08-26,2025-06-11,3,1,10,2,5,10,3,5,2,4,10,0,10,3,3,1,2,4,50,10,66,32.76418657369754,0,50.2,Medium,2025-08-16,0,0,0,7,Low BIM Adoption|Permit Approval Delays|Seismic Concerns,Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Permit Approval Delays: Begin permit process earlier and allocate resources for expedited processing | Seismic Concerns: Enhance structural designs and implement additional seismic protection measures
PRJ-2020-0027,North Commercial Development 27,Commercial,Medium,North,2019-10-05,2022-02-26,3,5,25,2,15,10,4,4,5,3,50,0,25,1,2,3,2,5,25,90,56,14.984638627418438,1,48.55,Medium,2022-04-23,0,0,0,8,Temporary Structures|Low BIM Adoption|Socio-political Issues,Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Socio-political Issues: Engage local stakeholders early and maintain communication channels with authorities
PRJ-2020-0028,Central Infrastructure Development 28,Infrastructure,Small,Central,2019-07-18,2020-07-18,3,3,50,5,25,75,5,4,3,3,0,0,5,5,5,2,4,5,50,90,71,47.111287935669026,0,61.224999999999994,High,2020-09-27,0,0,0,11,Long Lead Times|High Tariff Rates|Supply Chain Disruption,Long Lead Times: Establish early procurement protocols and identify alternative suppliers | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations | Supply Chain Disruption: Develop alternate sourcing strategy for critical materials and establish stockpiling protocol
PRJ-2020-0029,North Healthcare Development 29,Healthcare,Small,North,2022-08-21,2024-06-08,2,2,75,2,5,75,3,1,5,5,0,10,25,1,4,1,3,4,0,75,74,21.5305721043902,0,44.775000000000006,Medium,2024-08-21,0,0,0,7,Supply Chain Disruption|Lien Claims|Seismic Concerns,Supply Chain Disruption: Develop alternate sourcing strategy for critical materials and establish stockpiling protocol | Lien Claims: Improve subcontractor vetting and implement robust payment verification system | Seismic Concerns: Enhance structural designs and implement additional seismic protection measures
PRJ-2020-0030,Desert Residential Development 30,Residential,Small,Desert,2023-03-22,2024-05-30,4,2,25,2,5,75,4,5,3,2,50,25,20,5,5,1,5,5,75,90,146,15.215990727585554,0,59.425,Medium,2024-10-23,0,0,0,11,Structural Complexity|Low BIM Adoption|Supply Chain Disruption,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Supply Chain Disruption: Develop alternate sourcing strategy for critical materials and establish stockpiling protocol
PRJ-2020-0031,East Industrial Development 31,Industrial,Medium,East,2021-12-18,2023-12-23,5,2,10,5,50,10,5,3,1,2,25,0,10,2,1,3,3,5,25,90,29,20.577408390840755,0,54.05,Medium,2024-01-21,0,0,0,8,Structural Complexity|Low BIM Adoption|Long Lead Times,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Long Lead Times: Establish early procurement protocols and identify alternative suppliers
PRJ-2020-0032,East Industrial Development 32,Industrial,Large,East,2019-04-29,2022-01-02,3,5,25,3,5,25,2,5,1,4,10,25,25,5,5,1,4,4,50,75,104,41.38874452796832,0,56.17500000000001,Medium,2022-04-16,0,0,0,9,Temporary Structures|Low BIM Adoption|Permit Approval Delays,Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Permit Approval Delays: Begin permit process earlier and allocate resources for expedited processing
PRJ-2020-0033,South Healthcare Development 33,Healthcare,Large,South,2023-11-09,2024-07-06,4,3,90,1,10,50,2,5,3,5,0,50,5,1,3,1,4,4,0,10,68,43.084589260569466,0,56.75,Medium,2024-09-12,0,0,0,11,Structural Complexity|Supply Chain Disruption|Permit Approval Delays,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Supply Chain Disruption: Develop alternate sourcing strategy for critical materials and establish stockpiling protocol | Permit Approval Delays: Begin permit process earlier and allocate resources for expedited processing
PRJ-2020-0034,West Residential Development 34,Residential,Medium,West,2018-05-26,2019-06-07,5,1,10,5,10,50,1,4,3,5,10,0,5,1,3,4,3,2,25,25,82,33.70588054746296,0,54.35000000000001,Medium,2019-08-28,0,0,0,9,Structural Complexity|Low BIM Adoption|Long Lead Times,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Long Lead Times: Establish early procurement protocols and identify alternative suppliers
PRJ-2020-0035,South Infrastructure Development 35,Infrastructure,Large,South,2021-03-28,2022-09-01,5,5,75,5,15,10,2,4,5,4,50,0,25,3,2,5,3,4,25,25,52,38.57097365065927,0,53.300000000000004,Medium,2022-10-23,0,0,0,10,Structural Complexity|Temporary Structures|Long Lead Times,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Long Lead Times: Establish early procurement protocols and identify alternative suppliers
PRJ-2020-0036,Desert Educational Development 36,Educational,Small,Desert,2022-04-17,2025-02-02,3,3,10,2,5,10,4,4,4,3,25,0,25,1,4,4,3,4,25,75,0,39.702881857932944,0,45.25000000000001,Medium,2025-02-02,1,0,1,7,Low BIM Adoption|Socio-political Issues|Permit Approval Delays,Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Socio-political Issues: Engage local stakeholders early and maintain communication channels with authorities | Permit Approval Delays: Begin permit process earlier and allocate resources for expedited processing
PRJ-2020-0037,Desert Infrastructure Development 37,Infrastructure,Medium,Desert,2023-11-06,2026-07-19,3,2,75,2,50,25,2,4,3,1,10,50,20,1,5,2,1,5,50,50,33,22.957511232444237,0,47.525000000000006,Medium,2026-08-21,0,0,0,6,High Tariff Rates|Permit Approval Delays|Rainfall Flood Risk,High Tariff Rates: Source local materials where possible and hedge against currency fluctuations | Permit Approval Delays: Begin permit process earlier and allocate resources for expedited processing | Rainfall Flood Risk: Implement enhanced drainage systems and establish weather monitoring protocols
PRJ-2020-0038,North Industrial Development 38,Industrial,Small,North,2023-03-13,2024-06-23,2,3,75,1,50,75,3,3,2,4,25,50,10,4,3,1,4,4,0,75,41,47.861999651245334,0,57.375,Medium,2024-08-03,0,0,0,10,High Tariff Rates|Supply Chain Disruption|Seismic Concerns,High Tariff Rates: Source local materials where possible and hedge against currency fluctuations | Supply Chain Disruption: Develop alternate sourcing strategy for critical materials and establish stockpiling protocol | Seismic Concerns: Enhance structural designs and implement additional seismic protection measures
PRJ-2020-0039,East Educational Development 39,Educational,Medium,East,2018-10-07,2019-02-17,4,4,50,2,25,10,3,2,2,3,0,10,15,4,5,1,2,5,0,75,44,60.95262745427152,0,53.550000000000004,Medium,2019-04-02,0,0,0,8,Structural Complexity|Temporary Structures|High Tariff Rates,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Temporary Structures: Increase safety margins and inspection frequency for temporary structures | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations
PRJ-2020-0040,Mountain Commercial Development 40,Commercial,Large,Mountain,2018-09-20,2021-04-17,4,5,50,4,15,90,3,1,2,5,10,75,20,3,5,1,1,4,0,75,0,74.94526398915225,1,63.300000000000004,High,2021-04-17,1,0,0,10,Structural Complexity|Temporary Structures|Long Lead Times,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Long Lead Times: Establish early procurement protocols and identify alternative suppliers
PRJ-2020-0041,North Industrial Development 41,Industrial,Large,North,2021-12-15,2024-02-02,3,4,25,2,50,75,2,4,1,4,75,25,20,5,4,1,5,5,10,75,94,60.68780808782108,1,66.425,High,2024-05-06,0,0,0,13,Temporary Structures|Low BIM Adoption|High Tariff Rates,Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations
PRJ-2020-0042,South Commercial Development 42,Commercial,Large,South,2019-12-07,2020-03-31,5,5,25,2,25,10,2,4,5,1,0,75,20,5,4,3,2,4,75,90,22,29.811834217058653,0,55.300000000000004,Medium,2020-04-22,0,0,0,10,Structural Complexity|Temporary Structures|Low BIM Adoption,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements
PRJ-2020-0043,Mountain Industrial Development 43,Industrial,Medium,Mountain,2024-11-26,2026-09-27,3,1,75,4,50,90,1,1,1,4,25,0,5,4,2,4,2,3,0,90,47,13.628056504054612,0,47.900000000000006,Medium,2026-11-13,0,0,0,7,Long Lead Times|High Tariff Rates|Supply Chain Disruption,Long Lead Times: Establish early procurement protocols and identify alternative suppliers | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations | Supply Chain Disruption: Develop alternate sourcing strategy for critical materials and establish stockpiling protocol
PRJ-2020-0044,West Residential Development 44,Residential,Large,West,2021-06-16,2022-01-06,5,3,10,1,25,25,5,4,2,4,50,0,25,2,5,2,2,4,10,10,31,23.540767466774536,1,58.275000000000006,Medium,2022-02-06,0,0,0,12,Structural Complexity|Low BIM Adoption|High Tariff Rates,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations
PRJ-2020-0045,Coastal Infrastructure Development 45,Infrastructure,Medium,Coastal,2022-06-05,2024-05-02,5,4,90,4,10,90,1,2,3,1,75,10,10,4,3,1,4,4,10,75,9,52.08714906332736,0,58.54999999999999,Medium,2024-05-11,1,0,1,11,Structural Complexity|Temporary Structures|Long Lead Times,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Long Lead Times: Establish early procurement protocols and identify alternative suppliers
PRJ-2020-0046,Mountain Healthcare Development 46,Healthcare,Small,Mountain,2024-01-13,2026-10-21,3,4,90,5,10,10,4,5,2,4,10,75,5,2,4,1,5,4,25,25,96,37.44537103199639,1,62.60000000000001,High,2027-01-25,0,0,0,13,Temporary Structures|Long Lead Times|Socio-political Issues,Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Long Lead Times: Establish early procurement protocols and identify alternative suppliers | Socio-political Issues: Engage local stakeholders early and maintain communication channels with authorities
PRJ-2020-0047,Central Infrastructure Development 47,Infrastructure,Large,Central,2020-02-02,2021-08-26,1,3,10,4,50,50,3,1,3,4,0,0,20,5,2,4,1,4,75,50,36,19.0080706308334,0,46.2,Medium,2021-10-01,0,0,0,7,Low BIM Adoption|Long Lead Times|High Tariff Rates,Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Long Lead Times: Establish early procurement protocols and identify alternative suppliers | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations
PRJ-2020-0048,East Industrial Development 48,Industrial,Small,East,2024-05-06,2026-05-26,4,5,10,3,15,10,2,3,5,3,10,75,10,4,1,2,5,5,25,90,84,31.37272381888524,0,60.5,High,2026-08-18,0,0,0,11,Structural Complexity|Temporary Structures|Low BIM Adoption,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements
PRJ-2020-0049,South Commercial Development 49,Commercial,Small,South,2023-09-29,2025-04-27,5,4,50,5,5,50,5,1,4,4,10,10,5,1,1,5,1,3,75,25,100,32.29530549887156,0,49.699999999999996,Medium,2025-08-05,0,0,0,9,Structural Complexity|Temporary Structures|Long Lead Times,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Long Lead Times: Establish early procurement protocols and identify alternative suppliers
PRJ-2020-0050,Central Residential Development 50,Residential,Large,Central,2019-04-30,2020-04-07,5,4,90,2,15,25,5,2,3,5,75,75,15,2,4,1,4,2,25,90,112,50.99222927738516,1,61.324999999999996,High,2020-07-28,0,0,0,10,Structural Complexity|Temporary Structures|Socio-political Issues,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Socio-political Issues: Engage local stakeholders early and maintain communication channels with authorities
PRJ-2020-0051,West Infrastructure Development 51,Infrastructure,Large,West,2018-07-30,2019-09-12,1,5,75,5,15,25,2,3,1,1,75,25,20,2,3,4,5,4,50,10,97,21.036224476765174,0,47.974999999999994,Medium,2019-12-18,0,0,0,6,Temporary Structures|Long Lead Times|Flood Risk,Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Long Lead Times: Establish early procurement protocols and identify alternative suppliers | Flood Risk: Develop comprehensive flood mitigation plans including elevated foundations and waterproof materials
PRJ-2020-0052,Coastal Educational Development 52,Educational,Small,Coastal,2024-06-10,2025-01-23,2,1,25,1,5,75,1,5,2,1,75,10,5,2,5,1,2,5,75,50,51,51.59624469473439,1,51.525,Medium,2025-03-15,0,0,0,8,Low BIM Adoption|Supply Chain Disruption|Permit Approval Delays,Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Supply Chain Disruption: Develop alternate sourcing strategy for critical materials and establish stockpiling protocol | Permit Approval Delays: Begin permit process earlier and allocate resources for expedited processing
